PF,ECTS
51.66,7
14.05,4
48.18,6
51.58,7
48.99,7
43,4
40.37,4
29.27,4
48.85,6
33.17,4
53.08,8
51.56,7
45,5
51.14,7
0,4
46.29,6
61.52,8
73.04,9
105.56,10
22.67,4
77.55,9
78.56,9
18.1,4
39.82,4
48.66,7
48.41,7
51.66,8
47.53,7
45.67,6
54.38,8
50.44,7
49.21,7
19.77,4
46.06,6
51.71,8
43.08,4
46.07,5
61.66,9
46.41,6
46.78,6
41.16,4
53.84,8
0.11,4
48.22,7
45.52,6
71.74,9
84.63,10
48,6
48.12,7
50.79,7
26.74,4
45.69,6
45.14,5
20.55,4
47.45,4
89.64,10
91.65,10
46.39,6
48.96,7
64.84,9
57.86,8
47.96,7
40.24,4
45.8,5
64.53,9
18.8,4
52.44,8
66.66,9
66.01,9
54.94,8
81.69,10
51.8,8
32.41,4
55.23,8
51.14,8
40.12,4
74.75,9
45.99,6
33.04,4
39.74,4
46.56,6
53.76,8
65.77,9
64.8,9
50.18,8
64.91,9
42.47,4
61.24,9
0,4
60.53,9
32.68,4
45.41,5
45.63,6
53.12,8
44.12,4
55.23,7
50.1,7
49.36,7
67.48,9
52.58,8
47.32,6
71.93,9
53.62,8
35.93,4
55.61,8
48.85,7
47.05,6
59.45,8
38.51,4
11.64,4
42.77,4
47.44,7
45.14,5
49.87,7
50.4,6
51.74,7
46.87,6
35.98,4
45.39,5
50.1,8
86.29,10
49.42,7
28.72,4
51.84,8
53.87,8
64.22,9
41.34,4
38.47,4
56.26,7
50.01,7
57.29,8
50.61,7
61.88,8
62.24,9
46.69,6
50.6,7
49.97,7
46.31,6
45.02,5
45.22,6
42.78,4
49.82,7
48.76,7
48.23,6
57.03,4
20.49,4
51.44,7
53.91,7
4.46,4
47.88,7
74.04,9
48.69,7
54.27,8
46.53,6
49.72,7
46.83,6
48.99,7
36.94,4
41.81,4
41.78,4
56.49,8
50.78,8
78.64,9
134.67,10
21.71,4
19.94,4
45.48,6
68.82,9
42.25,4
45.61,6
43.02,4
49.97,7
47.22,6
48,6
55.59,8
6.56,4
64.58,9
48.72,6
49.3,7
103.79,10
50.33,7
57.59,8
46.32,6
41.02,4
44.06,4
5.3,4
39.62,4
47.36,6
50.57,7
55.96,8
47.38,6
48.43,7
68.54,9
52.37,7
47.41,6
54.4,8
43.3,4
92.68,10
40.23,4
15.6,4
