PF,ECTS
48.22,7
39.59,4
53.92,8
65.17,9
46.7,6
47.67,6
57.35,8
87.05,10
55.24,8
6.08,4
53.01,8
50.87,6
30.75,4
0,4
70.23,9
38.36,4
48.42,7
61.49,9
47.83,7
45.33,5
30.33,4
51.9,8
52.46,8
54.42,8
49.32,7
89.06,10
86.37,10
51.44,8
61.81,9
53.72,8
47.3,7
45.84,6
50.49,7
52.11,7
43.11,4
31.44,4
78.82,10
62.03,8
21.29,4
59.68,8
46.27,5
1.66,4
47.15,6
23.1,4
54.47,8
48.36,6
45.66,6
40.69,4
58.38,8
37.26,4
60.96,8
72.75,9
62.24,9
54.73,7
55.49,8
25.34,4
52.79,7
50.42,7
61.48,8
48.39,7
95.23,10
45.97,6
47.71,6
46.9,7
45.61,6
0,4
3.15,4
32.81,4
55.13,8
30.63,4
19.67,4
47.97,6
37.79,4
53.87,8
45.11,5
49.13,7
87.67,10
49.91,7
27.44,4
47.38,6
47.24,6
29,4
56.59,8
49.34,7
49.44,7
67.79,9
47.56,6
0,4
47.64,6
56.25,7
94.1,10
50.77,6
48.17,7
49.58,7
45.64,6
56.53,8
53.22,8
46.67,6
71.13,9
45.16,6
0,4
51.9,8
45.08,5
38.27,4
0,4
55.74,7
46.4,6
38.34,4
45.28,6
77.55,10
35.28,4
41.29,4
47.89,6
47.22,6
93.51,10
45.45,6
49.97,6
64.57,9
46.02,6
43.42,4
43.72,4
0,4
40.81,4
52.7,8
46.38,6
32.18,4
40.44,4
14.87,4
55.11,8
46.28,6
39.34,4
40.55,4
54.5,8
52.39,7
54.46,8
8.29,4
45.65,6
45.07,5
41.81,4
75.93,9
33.88,4
45.99,6
48.56,7
47.8,7
45.02,5
78.6,9
49.86,7
84.7,10
47.06,7
34.94,4
54.65,7
50.05,7
51.03,8
48.65,7
61.39,8
51.65,8
75.2,9
17.56,4
34.87,4
47.43,6
48.2,7
4.2,4
79.29,10
66.58,9
50.12,8
42.47,4
70.54,9
51.38,8
45.09,5
38.42,4
45.02,5
50.23,7
0,4
45.32,5
21.17,4
46.83,6
1.77,4
49.55,6
51.09,8
45.12,5
45.01,5
52.9,8
50.02,7
41.66,4
57.54,8
89.11,10
56.94,8
46.49,6
53.6,8
82.3,9
47.45,7
51.02,8
92.59,10
48.49,7
43.32,4
45.97,6
43.46,4
41.33,4
45.02,5
47.86,7
33.36,4
49.05,7
53.62,8
37.88,4
46.52,6
46.42,6
50.29,7
48.21,7
50.56,7
55.05,8
48,7
42.41,4
54.71,8
50.71,7
63.58,8
54.3,8
46.54,6
43.82,4
50.29,7
27.54,4
70,9
47.19,6
43.76,4
58.49,8
61.79,8
50.69,7
51.15,7
37.68,4
22.23,4
76.5,9
45.55,6
6.88,4
65.71,8
35.43,4
50.55,7
69.11,9
48,7
27.93,4
9.63,4
46.28,6
1.66,4
53.19,8
55.21,7
45.73,6
52.71,8
48.08,7
66.94,9
47.93,6
41.82,4
51.06,7
45.39,5
45.71,6
56.91,8
53.58,8
50.08,7
51.99,7
45.68,6
58.77,8
73.26,9
47.78,6
55.81,8
45.63,6
48.87,6
54.22,7
49.38,7
38.78,4
47.22,6
45.21,6
47.32,6
46.54,6
50.13,7
38.88,4
36.94,4
11.69,4
34.33,4
47.4,6
36.14,4
1.63,4
46.59,6
47.18,6
47.61,6
43.39,4
65.19,8
38.26,4
47.15,6
42.64,4
46.29,6
45.2,6
47.14,6
67.2,9
45.13,5
56.05,7
53.05,8
50.82,7
41.13,4
47.82,6
37.58,4
21.96,4
49.79,7
45.02,5
40.78,4
46.78,6
54.64,7
49.7,7
4.78,4
47.45,6
47.61,6
45.22,6
22.23,4
49.88,7
48.34,6
97.76,10
55.27,7
59.5,8
53.07,8
45.54,5
0,4
69.88,9
53.31,8
0,4
22.08,4
39.75,4
0,4
45.97,6
65.52,9
48.46,7
51.18,7
51.47,7
36.33,4
40.29,4
49.82,7
48.19,6
50.72,7
51.5,8
49.03,7
40.38,4
49.06,7
28.66,4
52.7,7
76.01,9
46.66,6
27.59,4
31.34,4
65.21,9
49.05,7
55.9,8
38.94,4
46.45,6
49.91,7
47.83,6
72.22,9
48.71,7
42.25,4
45.34,6
0.11,4
57.14,8
0,4
49.87,7
11.26,4
61.7,9
25.96,4
59.53,8
54.31,7
47.52,6
50.64,7
17.34,4
38.47,4
5.32,4
47.87,7
47.84,6
63.58,9
50.78,7
46.74,6
50.5,7
45.79,6
52.28,7
47.4,7
114.73,10
42.96,4
48.68,7
31.67,4
9.92,4
53.03,7
28.76,4
46.5,6
59.66,8
19.43,4
53.88,8
43.46,4
101.44,10
0,4
57.57,8
23.14,4
49.52,7
96.5,10
55.79,8
24.09,2
47.47,7
49.41,7
0,4
87.48,10
41.48,4
38.53,4
1.63,4
0,4
54.28,8
45.01,5
61.65,9
21.87,4
45.02,5
45.55,5
53.66,8
45.13,6
46.64,6
64.12,9
48.94,7
0,4
48.92,7
43.06,4
69.88,9
58.57,8
41.17,4
47.87,6
66.34,9
47.43,7
35.18,4
28.27,4
52.87,8
37.62,4
72.61,9
49.07,7
49.41,7
54.36,8
40.78,4
53.53,8
48.96,7
49.03,7
51.72,7
41.12,4
46.17,6
65.44,8
47.12,6
51.2,7
8.17,4
47.91,6
43.14,4
49,7
55.26,8
21.99,4
46.1,6
47.56,6
41.42,4
34.46,4
49,7
25.75,4
50.08,7
83.78,10
73.6,9
43.85,4
51.87,7
23.13,4
35.05,4
35.77,4
50.51,7
51.95,4
48.58,7
39.47,4
48.15,7
52.69,8
19.2,4
53.9,7
55.06,8
49,7
45.03,5
48.68,6
45.28,4
45.04,5
66.79,9
23.69,4
40.67,4
21.91,2
14.79,4
48.58,7
45.59,6
45.58,6
50.78,7
16.9,4
44.27,4
47.98,6
75.31,9
46.58,6
45.51,6
39.42,4
89.73,10
94.28,10
80.05,10
29.92,4
48.4,7
31.86,4
50.06,7
86.99,10
54.24,8
3.19,4
40.03,4
46.41,6
67.38,9
45.19,5
77.86,10
45.01,5
48.4,6
39.74,4
47.65,6
53.94,7
41.19,4
65.44,8
55.94,8
50.55,7
58,8
43.22,4
52.28,8
65.31,9
46,6
49.48,6
49.68,7
48.35,7
36.18,4
34.72,4
45.04,5
49.64,7
34.1,4
50.64,7
24.21,4
85.46,10
49.03,7
46.6,6
0,4
42.41,4
49.15,6
50.68,7
28.14,4
58.77,8
0.04,4
49.63,6
53.03,7
24.48,4
49.97,7
73.68,9
53.07,8
40.94,4
38.04,4
0.04,4
47.16,6
38.88,4
52.39,7
51.29,7
39.35,4
48.96,7
51.13,7
53.73,8
49.08,7
45.45,5
86.34,10
23.3,4
49.9,7
49.77,7
22.61,4
53.27,8
45.01,5
47.94,6
52.37,8
48.91,7
47.64,6
48.24,6
42.23,4
39.56,4
45,5
45.04,5
0.11,4
49.46,7
46.4,6
49.48,7
47.69,6
52.29,7
50.16,7
51.95,8
50.17,7
1.63,4
52.66,7
42.25,4
73.68,9
76.43,9
0,4
86.32,10
80.32,10
54.39,8
49.55,7
23.35,4
49.4,7
55.66,4
47.96,6
35.06,4
