Year,Gender,Class,NrPS1,NrPSM1,NrPSA1,NrPCA1,NrPC1,NFS1,NPS1,NPC1,NET1,NL1,NrPS2,NrPSM2,NrPSA2,NrPCA2,NrPC2,NFS2,NPS2,NPC2,NET2,NL2,BS,PF,ECTS
2011,1,13,7,0,1,0,5,10,0.14,1.3,9.8,2.25,7,0,1,0,7,10,0.14,1.88,9.4,2.2,2.28,50.14,7
2016,0,14,7,2,3,0,5,10,5.07,1.3,5.5,2.1,6,2,0,0,6,9.42,4.2,1.59,1.2,0,7,44.3,4
2009,1,9,6,0,0,1,1,9.42,0,2.46,9,2.6,6,0,0,2,4,9.42,0,5.36,8.4,2.2,0,46.24,6
2009,0,11,7,0,1,1,4,10,0.14,3.33,8,2.6,7,0,2,2,5,10,0.43,5.65,9.7,2.6,0,49.04,7
2011,1,3,7,0,0,0,5,10,0,1.3,8.3,2.2,7,0,0,0,7,10,0,1.88,9.2,2.8,1,47.42,7
2014,0,14,6,0,0,0,6,9.42,0,1.59,8.6,2.2,7,0,0,0,6,10,0,1.59,8.2,2.35,0.78,45.1,5
2011,0,10,7,0,0,0,4,10,0,1.01,7.4,2.2,4,0,0,0,2,7.39,0,0.43,9.1,0,0,37.88,4
2013,1,4,7,3,1,1,5,10,6.23,3.62,9.3,3.3,6,1,1,3,3,9.71,2.46,6.81,8.6,3,16.5,75.98,9
2009,1,11,6,0,0,0,5,9.71,0,1.3,8.4,2.9,7,0,0,0,2,10,0,0.43,9.7,3.5,2,51.04,8
2015,0,8,7,0,0,0,7,10,0,1.88,7.1,2.9,7,0,0,0,6,10,0,1.73,6.75,2.05,6,49.05,7
2014,1,13,7,4,0,0,7,10,7.39,1.88,8.6,3.35,7,1,0,0,7,10,2.17,1.88,8.3,2.4,4.42,61.11,9
2009,0,14,5,0,0,0,0,8.84,0,0,8.5,2.3,7,0,0,1,5,10,0,3.62,7.8,3.2,0,45.04,5
2011,1,13,7,0,0,0,5,10,0,1.3,9.2,2.6,7,0,1,0,6,10,0.14,1.59,9.4,2.65,2.42,50.72,7
2011,1,2,7,4,0,0,5,10,7.39,1.3,9.1,2.8,7,5,0,2,3,10,8.55,5.07,8,2.5,6.28,69.46,9
2013,1,5,7,4,1,1,5,10,7.68,3.62,5.6,3.8,7,3,1,0,7,10,6.23,1.88,9.1,2.3,4.64,63.98,9
2013,1,4,7,1,0,1,5,10,2.17,3.62,9.2,3.6,6,1,0,0,4,9.71,2.17,1.15,9.4,2.3,11.39,65.28,9
2016,1,10,7,2,1,0,6,10,4.49,1.94,5,2.2,7,2,0,2,4,10,4.2,5.36,4.7,2.9,8.64,55.9,8
2014,1,5,7,0,0,0,3,10,0,0.72,8.9,2.85,5,0,0,0,3,8.55,0,0.72,9,2.6,0,46.19,6
2010,0,10,6,0,0,2,4,9.42,0,5.36,5.8,3.1,7,0,0,0,11,10,0,3.04,7.3,2.8,0,43.37,4
2014,0,12,7,0,0,0,6,10,0,1.59,5.8,2.2,4,0,0,0,7,7.68,0,1.88,9.7,2.2,3.8,45,5
2015,0,7,7,2,0,0,7,10,4.2,1.88,8,2.7,7,0,0,0,7,10,0,1.88,2.2,2.1,7,48.32,7
2015,1,1,6,1,1,0,1,9.42,2.46,0.14,8.1,2.5,7,1,1,0,2,10,2.46,0.43,2.8,1,3,42.83,4
2015,0,8,7,0,0,0,2,10,0,0.43,7.4,3.1,2,0,0,0,0,4.49,0,0,0,2.3,3,32.1,4
2013,0,10,6,0,2,0,7,9.42,0.43,1.88,5.9,2.5,7,1,0,0,7,10,2.17,1.88,6.7,2.1,3.75,45.66,6
2009,0,2,6,0,1,1,4,9.42,0.14,3.33,5.9,2.4,6,0,0,6,1,9.42,0,9.71,5.9,2,2,41.98,4
2015,0,2,7,0,0,0,6,10,0,1.59,8.3,2.5,7,0,0,0,7,10,0,1.88,9.2,2.3,10,57.87,8
2016,0,8,5,0,0,0,7,8.55,0,1.88,2.8,1.7,3,0,1,0,1,5.94,0.14,0.14,0,2.1,4.64,26.15,4
2016,0,10,7,0,0,0,7,10,0,1.88,4.5,2,7,0,0,0,6,10,0,1.59,1.6,0,5.5,33.11,4
2012,0,10,7,4,0,0,4,10,7.39,1.01,6.1,2.8,6,0,1,0,2,9.42,0.14,0.43,3.8,2.7,7.56,52.02,7
2011,1,2,6,0,0,0,3,9.42,0,0.72,9.6,2.2,7,0,0,0,6,10,0,1.59,7.5,2.2,2.7,46.92,6
2009,0,8,7,0,0,0,2,10,0,0.43,7.9,2.2,6,0,0,0,3,9.71,0,0.72,6,4,0,43.3,4
2010,0,3,7,0,0,1,3,10,0,3.04,9.8,2.6,6,1,0,0,5,9.42,2.17,1.3,7.4,2.9,0,48.95,7
2011,0,6,7,0,2,0,6,10,0.43,1.59,8.5,2.2,7,1,3,0,7,10,3.04,1.88,9,2.3,3.4,52.49,8
2010,0,3,6,0,0,0,3,9.42,0,0.72,0,2.6,6,0,0,0,4,9.42,0,1.01,6,2.2,1,31.46,4
2016,0,2,7,1,1,0,7,10,2.46,1.88,3.3,2.3,7,4,0,0,7,10,7.39,1.88,1.4,2.3,10.49,50.22,7
2013,1,12,7,0,2,0,7,10,0.43,1.88,6.8,2.9,7,0,3,0,7,10,0.72,1.88,9.7,2.3,3.78,50.6,7
2009,1,4,7,3,0,0,4,10,5.94,1.01,4.3,2.3,6,2,0,2,2,9.71,4.2,4.78,6.5,2,3,50.4,8
2011,0,2,7,0,0,0,4,10,0,1.01,9.4,2.4,7,0,0,0,6,10,0,1.59,8.1,2.2,0.56,46.14,6
2016,0,10,7,2,1,1,6,10,4.49,3.91,4.7,2.6,7,1,1,0,7,10,2.46,1.88,3.1,2.1,8.5,50.34,7
2014,0,2,7,0,1,0,6,10,0.14,1.59,5.2,2.3,7,3,1,0,7,10,6.23,1.88,9.9,2.3,4,53.16,8
2016,1,9,7,0,0,0,6,10,0,1.59,3.3,2.1,7,0,0,0,7,10,0,1.88,2,2.5,4.5,35.15,4
2016,0,6,6,0,0,0,1,9.42,0,0.14,2,1.7,0,0,0,0,0,0,0,0,0,0,0,12.62,4
2013,0,11,7,0,0,0,5,10,0,1.3,6,2.1,7,0,4,0,7,10,1.01,1.88,7.7,2.1,4.5,45.78,6
2010,0,14,6,3,0,0,0,9.42,5.94,0,6.5,2.3,7,1,1,0,0,10,2.46,0,7.6,2.3,0,48.64,7
2009,0,3,6,6,0,6,0,9.42,9.42,9.42,10,8.5,7,7,0,5,2,10,10,9.13,10,6.5,38,127.87,10
2015,1,12,7,0,1,0,7,10,0.14,1.88,8.3,2.4,7,0,1,0,7,10,0.14,2.02,4,2.3,6.64,46.92,6
2009,1,6,7,0,0,0,0,10,0,0,6.5,2.4,7,1,0,0,1,10,2.17,0.14,3.3,0,0,33.66,4
2015,0,5,7,1,3,0,7,10,3.04,1.88,8.7,4.7,7,5,0,2,5,10,8.55,5.65,7.75,4,14.7,79.9,10
2014,0,1,7,0,0,0,6,10,0,1.59,6.5,2.4,7,2,2,0,7,10,4.78,1.88,9.9,2.5,3.5,53.22,8
2015,1,6,4,0,0,0,6,7.68,0,1.59,8.1,2.2,3,0,0,0,6,5.94,0,1.59,2.5,0,5.14,33.88,4
2016,0,2,7,4,2,0,7,10,7.97,1.88,4.1,1.9,7,1,1,0,7,10,2.46,1.88,1.1,2.3,10.2,50.57,7
2011,0,12,7,0,1,0,1,10,0.14,0.14,7,0,7,0,1,0,0,10,0.14,0,0,2.3,0,28.09,4
2014,0,3,7,0,0,0,7,10,0,1.88,5.7,2.55,7,0,0,0,7,10,0,1.88,8.1,2.28,3.4,45.04,5
2010,1,7,7,2,1,2,4,10,4.49,5.36,8.3,2.5,7,0,0,0,10,10,0,2.75,7.5,2.3,0,49.67,7
2009,0,9,7,1,0,0,6,10,2.17,1.59,8.8,2.8,5,0,0,2,4,8.84,0,5.36,9.3,2.5,0,49.94,7
2010,0,2,7,0,0,0,3,10,0,0.72,6.8,2.7,7,0,0,0,0,10,0,0,7.1,2.1,0,40.96,4
2012,0,11,7,0,4,0,6,10,1.01,1.59,7.1,2.3,7,4,2,0,7,10,7.97,1.88,7.6,2.4,7.32,58.77,8
2011,1,5,7,5,0,1,5,10,8.55,3.62,9.7,5.2,7,2,3,4,3,10,5.07,8.26,9.1,4.1,15.15,86.52,10
2012,0,3,6,2,0,0,3,9.42,4.2,0.72,6.1,2.2,3,0,0,0,0,5.94,0,0,0,0,0,27.38,4
2010,1,6,7,0,0,4,2,10,0,7.97,9,2.7,7,0,0,0,7,10,0,1.88,7.8,3.5,24,73.31,9
2015,1,2,7,0,0,0,5,10,0,1.3,8.4,2.5,7,0,0,0,7,10,0,1.88,10,2.2,8,56.97,8
2015,1,1,7,0,2,0,6,10,0.43,1.59,8.6,3.5,7,1,1,0,5,10,2.46,1.3,7.2,2.6,6,56.19,8
2014,0,6,6,1,2,0,4,9.71,2.75,1.01,8.4,2.2,6,1,0,0,3,9.71,2.17,0.79,6.3,2.5,0.14,46.68,6
2014,0,2,7,0,2,0,4,10,0.43,1.01,7.3,2.3,7,1,0,0,5,10,2.17,1.3,9.5,2.1,0.5,47.38,6
2014,0,1,7,3,1,0,5,10,6.23,1.3,6.1,2.5,7,4,0,0,5,10,7.39,1.3,4.5,2.4,0,51.1,7
2009,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.11,4
2011,0,8,3,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,4
2013,0,4,7,0,1,0,6,10,0.14,1.59,6.5,3.2,7,2,0,0,7,10,4.2,1.88,5.9,3.1,1.5,48.23,7
2012,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2011,1,10,7,3,3,0,6,10,6.81,1.59,9.5,5.1,7,2,3,0,7,10,5.07,1.88,9.4,5.2,8.92,78.32,10
2012,1,2,7,0,1,0,7,10,0.14,1.88,6.7,2.6,7,1,1,0,6,10,2.46,1.59,5.7,2.2,8.43,50.8,6
2015,0,2,7,0,1,0,6,10,0.14,1.59,8.9,2.3,7,0,0,0,7,10,0,1.88,10,2.3,10,59.61,8
2013,0,11,7,0,0,0,6,10,0,1.59,6,3.7,7,1,0,0,7,10,2.17,1.88,7.8,2.4,4.5,50.46,7
2010,0,3,7,2,2,3,3,10,4.78,6.81,9.9,2.2,7,1,1,0,7,10,2.46,1.88,8.4,3,3,59.39,8
2011,1,4,7,0,0,0,6,10,0,1.59,9.3,2.2,7,1,1,0,2,10,2.46,0.43,9.7,2.2,0.28,49.7,7
2014,0,5,7,0,2,0,6,10,0.43,1.59,5.9,3,7,1,0,0,7,10,2.17,1.88,8.7,2.25,3.5,49.41,7
2013,0,1,6,0,0,0,3,9.42,0,0.72,3.2,2.1,7,0,0,0,5,10,0,1.3,4.6,2.1,2,34.17,4
2010,1,6,7,2,2,5,1,10,4.78,8.84,6,5.1,7,0,0,2,9,10,0,6.81,5.4,2.8,22.64,74.41,9
2013,0,7,7,5,1,1,6,10,8.84,3.91,4.9,2.5,7,3,1,0,7,10,6.23,1.88,5.2,2.05,1.39,53.5,8
2014,0,7,7,0,0,0,4,10,0,1.01,8.4,2.15,7,0,0,0,6,10,0,1.59,7.6,2.3,0.5,43.94,4
2015,1,11,7,0,2,0,7,10,0.43,1.88,7.4,2.6,7,0,0,0,7,10,0,2.02,4.6,2.2,8.5,48.91,7
2009,0,5,6,4,0,1,5,9.42,7.39,3.62,5.9,3.7,7,1,0,0,4,10,2.17,1.01,5.9,2.4,0,50.71,8
2013,0,5,6,1,1,0,6,9.42,2.46,1.59,7.8,2.5,7,1,0,0,7,10,2.17,1.88,9.3,2.4,1.25,51.26,7
2013,0,1,6,0,0,0,5,9.42,0,1.3,3.2,2.3,7,1,1,0,6,10,2.46,1.59,2.2,0,1.5,30.02,4
2012,1,12,7,4,3,3,4,10,8.26,7.1,9,4.45,7,4,3,3,4,10,8.26,7.1,9,3.3,25.85,96.98,10
2012,0,14,7,1,4,1,4,10,3.33,3.33,6.8,2.6,7,5,2,0,7,10,9.13,1.88,8.4,2.5,18.16,74.85,9
2009,0,7,6,0,0,0,2,9.42,0,0.43,1,2,6,0,0,0,5,9.71,0,1.3,4.6,2,2,30.78,4
2009,0,1,7,0,0,0,1,10,0,0.14,5.1,2,7,0,0,0,1,10,0,0.14,5.5,2.1,0,35.5,4
2010,0,3,7,2,1,0,2,10,4.49,0.43,9,3,7,0,1,0,0,10,0.14,0,6.7,2.8,0,49.51,7
2016,1,3,7,0,0,0,7,10,0,1.88,3.4,2.9,7,1,0,0,7,10,2.17,1.88,2.9,2.7,9.56,45.45,5
2012,0,7,7,1,3,0,7,10,3.04,1.88,8.4,2.5,7,2,1,0,7,10,4.49,1.88,8.4,2.2,5.9,58.6,8
2015,1,8,7,0,0,0,7,10,0,1.88,7.2,2.7,7,0,0,0,7,10,0,2.02,2.2,2.9,8.64,45.99,6
2009,0,5,7,0,2,1,4,10,0.43,3.33,6.9,2.6,7,0,0,0,1,10,0,0.14,8.2,2,2,45.22,6
2016,0,12,7,0,0,0,7,10,0,1.88,2.6,1.8,6,1,1,0,4,9.42,2.46,1.01,0,2,5.64,33.11,4
2009,0,5,7,7,0,4,2,10,10,7.97,9,3.9,7,4,1,2,4,10,7.68,5.36,9.5,6.1,25.5,102.14,10
2013,1,3,7,1,1,0,5,10,2.46,1.3,4.3,3.2,6,2,0,0,6,9.42,4.2,1.59,5.1,2.1,3,45.97,6
2012,0,13,7,4,2,0,6,10,7.97,1.59,7.9,2.55,7,3,2,0,2,10,6.52,0.43,5.7,2.4,3.45,59.11,8
2016,1,3,7,1,0,1,6,10,2.17,3.91,6.2,3,7,0,1,1,5,10,0.14,3.69,3.4,2.9,7.89,49.98,7
2015,1,3,7,3,0,0,6,10,5.94,1.59,6.7,2.4,7,0,0,0,6,10,0,1.73,5.25,3,6,52.72,8
2009,0,2,4,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,5.87,4
2012,0,11,7,1,0,0,3,10,2.17,0.72,9.5,2.7,7,2,0,0,0,10,4.2,0,5.8,2.2,3.5,52.75,7
2013,0,13,6,0,0,0,5,9.42,0,1.3,4.4,2.4,7,0,2,0,6,10,0.43,1.59,7.4,3.7,4,45.14,6
2011,0,3,7,1,0,1,4,10,2.17,3.33,5.2,3.2,7,0,0,0,7,10,0,1.88,7.7,2.1,5.56,49.43,7
2010,0,9,7,0,1,0,5,10,0.14,1.3,2.2,2.4,7,0,2,0,1,10,0.43,0.14,6.4,2.4,4,39.08,4
2013,0,9,7,2,0,1,6,10,4.2,3.91,5.8,2.7,7,0,0,0,7,10,0,1.88,7.8,2,6.14,52.01,8
2016,0,7,7,0,0,0,5,10,0,1.3,4.2,2.6,7,1,0,0,7,10,2.17,1.88,2.2,2.53,12.21,47.34,6
2015,0,4,7,3,2,0,7,10,6.52,1.88,7.7,3,7,1,0,0,7,10,2.17,1.88,2.4,2.1,8,54.26,8
2010,0,5,7,0,0,0,6,10,0,1.59,8.4,2.6,7,4,1,0,2,10,7.68,0.43,6.2,2.9,7.5,58.56,8
2013,0,11,7,0,0,0,7,10,0,1.88,8.1,2.1,7,0,1,0,7,10,0.14,1.88,8.6,2,4.75,48.88,7
2015,0,14,1,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,4
2012,0,3,7,1,0,0,6,10,2.17,1.59,7.8,2.4,7,0,1,0,7,10,0.14,1.88,5.7,2.1,10.8,53.73,7
2016,1,4,7,1,0,0,6,10,2.17,1.59,2.8,2.1,7,1,0,0,7,10,2.17,1.88,1.3,2.8,6.14,39.93,4
2011,0,4,7,0,2,0,6,10,0.43,1.59,6.7,2.5,7,0,1,0,7,10,0.14,1.88,8.6,2.3,3.48,47.44,7
2009,0,12,7,0,0,0,2,10,0,0.43,7.1,2,6,0,0,1,5,9.42,0,3.62,8.5,2,0,42.08,4
2009,1,3,6,2,0,0,6,9.42,4.2,1.59,9.8,2.2,7,1,0,2,4,10,2.17,5.36,10,2.2,0,55.12,8
2013,0,5,7,2,2,0,6,10,4.78,1.59,8.7,3.1,7,1,3,0,6,10,3.04,1.59,8.6,2.9,2.14,57.88,8
2010,0,8,6,0,0,0,5,9.71,0,1.3,5.4,2.6,7,0,0,0,9,10,0,2.46,5.7,2.8,2.58,41.63,4
2013,0,1,7,0,0,0,7,10,0,1.88,5.2,2.6,7,0,0,0,7,10,0,1.88,7.1,2.5,2.5,42.74,4
2016,0,6,6,0,0,0,6,9.42,0,1.59,5,1.9,4,0,0,0,3,7.39,0,0.72,1.6,2.25,0,29.07,4
2011,0,10,7,0,0,0,3,10,0,0.72,9.4,2.15,7,0,1,0,2,10,0.14,0.43,9.4,2.65,0,47.33,6
2013,0,11,7,0,0,0,6,10,0,1.59,4,2.7,7,0,3,0,6,10,0.72,1.59,9.1,2.4,5.5,47.32,6
2015,0,2,7,0,0,0,7,10,0,1.88,7.1,2.7,7,0,0,0,6,10,0,1.59,5.8,2.2,7,48.47,7
2015,0,5,6,0,0,0,6,9.42,0,1.59,8.2,2.6,7,1,0,0,7,10,2.17,1.88,3.25,2.8,6,47.48,6
2015,0,1,7,1,0,0,3,10,2.17,0.72,4.8,2.3,7,2,0,0,6,10,4.2,1.73,2.4,2.1,5,43.76,4
2011,0,11,7,0,1,0,5,10,0.14,1.3,9.7,2.35,7,0,1,0,7,10,0.14,1.88,8.5,2.35,4,51.05,7
2016,1,9,7,1,0,0,7,10,2.17,1.88,6.4,2.1,7,0,0,0,7,10,0,1.88,2.4,2.4,12.21,49.84,7
2014,0,3,7,0,0,0,6,10,0,1.59,8.6,2.8,7,0,0,0,6,10,0,1.59,8.2,2.48,0.5,46.54,6
2011,0,7,7,0,0,0,2,10,0,0.43,9.4,2,7,0,1,0,6,10,0.14,1.59,9.4,2.1,0.42,46.74,6
2016,0,8,7,5,2,0,7,10,9.13,1.88,4.4,1.9,7,1,0,0,3,10,2.17,0.72,1.1,2.5,6.5,48.19,6
2012,0,6,7,1,2,0,7,10,2.75,1.88,6.5,2.15,7,2,2,0,6,10,4.78,1.59,8.5,2.1,8.79,58.38,8
2010,1,14,7,0,3,0,3,10,0.72,0.72,4.5,2.2,7,1,1,0,7,10,2.46,1.88,6.2,3,0,41.31,4
2011,1,11,5,0,3,0,0,8.55,0.72,0,9.7,2.35,7,1,2,0,1,10,2.75,0.14,7.5,2,0,46.53,6
2010,0,14,7,1,1,1,4,10,2.46,3.33,4.6,2.1,7,2,3,0,6,10,5.07,1.59,6.7,2.2,0,45.41,6
2015,0,10,7,1,0,0,7,10,2.17,1.88,7.6,2.8,7,0,1,0,6,10,0.14,1.73,3.5,2.5,7,48.61,7
2012,0,11,7,1,1,0,6,10,2.46,1.59,9.3,2.7,7,2,0,0,3,10,4.2,0.72,3.6,2.05,6.08,52.76,7
2012,0,11,7,0,1,0,0,10,0.14,0,9.5,2.6,7,2,0,0,5,10,4.2,1.3,5.5,2.6,4.37,51.89,7
2012,1,4,7,6,1,0,6,10,9.71,1.59,9.8,4.2,7,6,1,0,7,10,9.71,1.88,7.6,2.8,12.29,81.58,10
2015,1,12,7,0,0,0,7,10,0,1.88,8.6,2.9,6,0,0,0,6,9.42,0,1.73,5.8,3.1,6.64,51.28,7
2015,0,14,7,1,0,0,4,10,2.17,1.01,7.4,2.3,6,0,0,0,2,9.42,0,0.57,2.45,2.1,6.25,43.48,4
2011,0,13,6,0,1,0,3,9.42,0.14,0.72,0,2.25,5,0,0,0,0,8.55,0,0,8.2,2.25,0,31.92,4
2015,1,8,7,0,1,0,7,10,0.14,1.88,7.5,2.9,7,0,0,0,7,10,0,2.02,4.5,2.3,8.5,49.27,7
2014,0,3,7,0,0,0,5,10,0,1.3,4.8,2.45,7,0,0,0,7,10,0,1.88,7.9,3,3.8,45.01,5
2010,1,6,7,0,0,4,2,10,0,7.97,9.7,3.7,7,0,0,0,13,10,0,3.62,6.6,3.3,3,53.52,8
2016,0,8,7,0,0,0,7,10,0,1.88,4,1.8,7,1,0,0,7,10,2.17,1.88,6,2.8,10.64,50.11,7
2010,0,8,7,3,0,2,3,10,5.94,5.07,9.1,2.5,7,1,0,0,1,10,2.17,0.14,9.7,2.2,0,56.14,8
2015,0,8,7,4,1,2,3,10,7.68,5.63,8.2,3,7,5,0,2,5,10,8.55,5.79,7,3.8,20.64,86.43,10
2013,0,2,6,0,0,0,5,9.42,0,1.3,3.7,2.6,6,0,1,0,6,9.42,0.14,1.59,7,2.1,2,38.59,4
2016,1,7,7,1,1,0,7,10,2.46,1.88,5.5,3.3,6,1,0,0,5,9.42,2.17,1.3,4.2,2.45,13.71,56.48,8
2016,1,3,7,0,3,0,7,10,0.72,1.88,3.6,2.5,7,2,0,0,7,10,4.2,1.88,3.6,2.9,7.5,47.08,6
2013,0,1,7,0,0,0,5,10,0,1.3,4.3,3.5,7,0,1,0,7,10,0.14,1.88,8,2.4,3.36,45,5
2016,0,11,7,0,0,0,7,10,0,1.88,2.6,2.2,7,1,2,0,7,10,2.75,1.88,4.2,2,4.64,39.57,4
2013,0,13,7,2,3,0,7,10,5.07,1.88,8.8,2.2,7,0,4,0,7,10,1.01,1.88,7.2,2,2.5,51.87,8
2014,0,10,7,0,0,0,6,10,0,1.59,8.6,2,6,0,0,0,5,9.42,0,1.3,7.7,2.08,0,42.8,4
2009,0,2,7,0,1,0,4,10,0.14,1.01,7,2.6,6,0,0,0,6,9.42,0,1.59,6.6,2.4,0,41.11,4
2015,1,10,6,0,0,0,7,9.42,0,1.88,8,2.7,6,0,0,0,7,9.71,0,2.02,3.65,2.5,6.3,45.57,6
2012,0,6,5,0,1,0,5,8.55,0.14,1.3,7.2,3,7,2,3,0,6,10,5.07,1.59,5.8,2.2,9.32,54.52,7
2009,1,13,2,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,4
2016,0,12,7,0,4,0,7,10,1.01,1.88,3.2,2.7,7,4,0,0,7,10,7.39,1.88,3,3.9,6.71,50.29,7
2014,1,14,7,0,2,0,5,10,0.43,1.3,8.5,2.2,7,3,1,0,6,10,6.23,1.59,8.4,2.75,5,57.17,8
2015,0,12,7,2,4,0,5,10,5.36,1.3,8.1,2.3,7,0,2,0,6,10,0.43,1.59,2.4,2.3,6.64,49.35,7
2014,0,6,7,0,1,0,7,10,0.14,1.88,8.5,2.55,7,0,0,0,5,10,0,1.3,8.2,2.1,4.07,49.02,7
2009,0,14,7,0,0,0,5,10,0,1.3,7,3.1,6,0,0,0,5,9.42,0,1.3,6.3,4,2,46.27,6
2009,1,2,7,1,0,0,4,10,2.17,1.01,6.5,3.1,7,1,1,0,3,10,2.46,0.72,8.5,4.4,0,51.94,8
2009,0,5,6,0,0,0,0,9.42,0,0,2.4,2,3,0,0,0,0,5.94,0,0,5.2,0,0,24.52,4
2013,1,4,7,1,0,0,6,10,2.17,1.59,4.4,2.8,6,1,0,0,6,9.71,2.17,1.66,7.6,2.5,2.5,46.71,6
2013,0,8,7,1,0,0,7,10,2.17,1.88,7.4,2.2,7,1,0,0,7,10,2.17,1.88,5.8,2.1,4.65,48.96,7
2013,0,11,3,0,0,0,0,5.94,0,0,0,0,1,0,0,0,0,2.17,0,0,0,0,0,6.08,4
2014,1,2,7,3,3,0,4,10,6.81,1.01,8.3,2.2,7,2,0,0,5,10,4.2,1.3,7.1,2.3,0.5,54.21,8
2015,0,4,7,0,2,0,6,10,0.43,1.98,7,3,7,0,0,0,6,10,0,2.14,3.5,2.2,6,45.01,5
2011,0,7,7,0,4,0,5,10,1.01,1.3,9.7,2.5,7,1,3,0,7,10,3.04,1.88,9.7,2.8,1.84,55.21,8
2010,0,2,5,0,0,0,2,8.55,0,0.43,5.9,0,1,0,0,0,0,2.17,0,0,0,0,0,15.52,4
2014,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2011,0,7,7,0,0,0,4,10,0,1.01,9.7,2.4,6,0,1,0,6,9.42,0.14,1.59,9.2,2.9,1.42,49.68,7
2011,0,10,6,0,0,0,2,9.42,0,0.43,0,0,1,0,0,0,0,2.17,0,0,0,0,0,8.8,4
2015,0,10,7,3,1,3,3,10,6.23,6.81,8.1,4.1,7,3,1,0,5,10,6.23,1.58,3.5,2.8,14.5,70.81,9
2014,0,3,7,0,0,0,6,10,0,1.59,5.5,2.35,7,0,0,0,7,10,0,1.88,6.7,2.45,3,42.52,4
2009,0,5,7,1,0,0,5,10,2.17,1.3,8.7,2.5,7,0,0,0,4,10,0,1.01,9.5,2,0,48.37,7
2012,0,7,7,5,1,1,4,10,8.84,3.33,8.8,3.6,7,5,2,0,4,10,9.13,1.01,5.8,2.5,12,74.98,9
2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2016,0,9,7,2,1,0,7,10,4.49,1.88,5.4,1.7,7,0,0,0,7,10,0,1.88,4.5,2.7,6.71,48.04,6
2010,0,12,7,0,0,0,4,10,0,1.01,5.8,2,6,0,0,0,6,9.42,0,1.59,7.6,0,0,35.47,4
2009,0,5,6,0,0,0,0,9.42,0,0,7,2.5,6,0,0,0,0,9.71,0,0,8.8,2.5,0,42.85,4
2013,1,8,7,0,1,0,6,10,0.14,1.59,7.3,3.2,7,2,1,1,6,10,4.49,3.91,8.7,3.1,4.4,56.43,8
2016,0,6,7,1,2,2,5,10,2.75,5.65,2.2,2.4,7,3,1,0,7,10,6.23,1.88,3.4,2.5,6.71,48.25,6
2013,0,2,6,0,3,0,7,9.71,0.72,1.88,5,2.1,7,0,1,0,7,10,0.14,1.88,7,2.3,3.5,42.78,4
2010,0,7,7,0,0,1,1,10,0,2.46,9.8,2.5,3,0,0,0,4,5.94,0,1.01,0,0,0,29.45,4
2010,0,8,4,0,0,0,1,7.39,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58,4
2016,0,14,5,0,1,0,3,8.55,0.14,0.72,6.5,2.8,2,0,0,0,2,4.49,0,0.43,2.3,2.65,1.5,32.75,4
2012,0,1,7,0,1,0,5,10,0.14,1.3,5.9,2.7,6,1,1,0,7,9.42,2.46,1.88,4.5,2.2,9.4,48.94,6
2015,0,7,7,0,0,0,7,10,0,1.88,8,2.5,7,0,0,0,7,10,0,1.88,2.5,2.5,12,49.82,7
2014,1,2,7,2,0,0,7,10,4.2,1.88,7.7,2.3,7,1,1,0,7,10,2.46,1.88,9.5,2.1,3.5,55.3,8
2010,0,12,6,1,0,0,0,9.42,2.17,0,7.3,2.3,7,0,0,0,0,10,0,0,6,2.4,1,42.59,4
2013,0,3,7,0,0,0,6,10,0,1.59,7.2,2.1,7,0,0,0,7,10,0,1.88,8,2,2.97,45.01,5
2010,0,14,5,0,0,0,0,8.55,0,0,5.1,2.35,2,0,0,0,0,4.2,0,0,0,0,0,20.05,4
2009,1,1,7,0,2,0,6,10,0.43,1.59,7.8,3.4,7,4,1,0,6,10,7.68,1.59,7.1,2.2,2,54.33,8
2012,0,13,6,0,0,0,3,9.42,0,0.72,7,2.3,4,1,0,0,5,7.39,2.17,1.3,5.9,2.3,5.79,45.25,5
2010,0,8,7,1,0,1,5,10,2.17,3.62,7.6,3.2,6,0,0,0,2,9.71,0,0.43,6.9,2.2,3,48.54,7
2014,1,8,7,5,0,1,6,10,8.55,3.91,6.5,4,7,6,0,0,7,10,9.42,1.88,4.4,3.2,19.5,80.14,10
2012,0,5,7,1,0,0,7,10,2.17,1.88,9.4,2.3,6,2,1,0,7,9.42,4.49,1.88,6.7,2.2,7.9,58.07,8
2009,0,3,6,1,0,0,6,9.42,2.17,1.59,6.2,2.3,7,1,0,3,3,10,2.17,6.81,9.3,2.2,0,48.26,7
