Year,Gender,Class,NrPS1,NrPSM1,NrPSA1,NrPCA1,NrPC1,NFS1,NPS1,NPC1,NET1,NL1,NrPS2,NrPSM2,NrPSA2,NrPCA2,NrPC2,NFS2,NPS2,NPC2,NET2,NL2,BS,PF,ECTS
2011,1,3,7,3,0,0,6,10,5.94,1.59,7.3,2.3,7,0,0,0,6,10,0,1.59,7.4,2.3,0,48.16,7
2012,1,14,4,0,1,0,0,7.39,0.14,0,5.1,2.5,1,0,0,0,1,2.17,0,0.14,0,0,0,18.1,4
2016,1,5,7,4,1,1,6,10,7.68,3.91,8.1,4,6,1,1,0,3,9.42,2.46,0.72,2,2.6,10.5,61.06,9
2010,0,3,7,0,0,1,3,10,0,3.04,8.7,2.3,7,0,0,0,7,10,0,1.88,6.7,2.6,1,45.06,5
2012,0,12,7,0,0,0,6,10,0,1.59,6.5,2.85,7,1,0,0,6,10,2.17,1.59,9.7,2.1,4.29,51.17,7
2015,0,11,7,0,0,0,3,10,0,0.72,5.9,2.8,7,1,2,0,7,10,2.75,1.88,6,3.3,4,48.63,7
2016,0,12,7,1,2,0,7,10,2.75,1.95,2.5,2.3,7,2,1,0,7,10,4.49,1.88,4.2,2.7,9.85,50.43,7
2010,1,10,7,1,1,3,3,10,2.46,6.81,8.8,4.7,7,2,1,0,8,10,4.49,2.17,8,2.4,3,60.62,9
2014,0,10,7,0,0,0,7,10,0,1.88,8.7,2.4,7,0,0,0,7,10,0,1.88,8.5,2.1,4.5,49.82,7
2009,0,5,5,0,0,0,1,8.55,0,0.14,0,2,1,0,0,0,0,2.17,0,0,0,0,0,11.58,4
2009,0,5,7,0,0,0,0,10,0,0,4.9,2.1,7,0,0,0,0,10,0,0,7.8,2,0,38.05,4
2012,1,1,7,0,1,0,2,10,0.14,0.43,7,3.1,6,1,2,0,4,9.71,2.75,1.01,7.2,2.8,15.85,61.96,8
2014,0,10,4,0,0,0,0,7.39,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,13.67,4
2009,1,8,7,4,0,1,1,10,7.39,2.46,9.2,2.8,6,4,0,0,3,9.71,7.39,0.72,6.8,3.4,20,81.21,10
2009,0,13,7,2,1,0,5,10,4.49,1.3,7.4,2.6,7,0,0,2,0,10,0,4.2,8.4,2.2,0,49.02,7
2010,0,12,7,0,0,0,0,10,0,0,8.5,2.2,7,0,0,0,1,10,0,0.14,7.6,2.9,0,44.09,4
2011,1,4,7,0,0,0,4,10,0,1.01,9.7,2.9,7,0,2,0,6,10,0.43,1.59,8.4,2.3,0.14,47.95,7
2014,0,13,7,2,0,0,7,10,4.2,1.88,8.5,2.95,7,1,0,0,6,10,2.17,1.59,8.5,2.38,0.64,53.46,8
2014,1,9,7,0,1,0,7,10,0.14,1.88,8.6,2.75,7,1,0,0,6,10,2.17,1.59,8.4,2.35,0.64,48.99,7
2014,1,1,7,3,1,0,7,10,6.23,1.88,8.4,2.2,7,5,1,0,7,10,8.84,1.88,9.4,3.8,3.14,66.9,9
2011,0,11,6,0,0,0,4,9.42,0,1.01,4,2.9,7,0,1,0,4,10,0.14,1.01,3,0,0.28,29.32,4
2009,0,10,6,0,1,2,1,9.42,0.14,4.49,6.4,2,6,0,0,2,3,9.42,0,5.07,7.9,3.3,0,43.81,4
2013,1,4,7,0,0,0,6,10,0,1.66,8.9,4.1,7,0,0,0,7,10,0,1.88,9.2,2.9,1.25,52.01,8
2016,0,3,7,0,0,0,7,10,0,1.88,4.2,2.4,7,2,1,0,7,10,4.49,1.88,3.5,3,7.92,47.77,6
2013,1,3,7,3,1,0,5,10,6.23,1.3,7.7,3.2,6,5,0,1,3,9.71,8.55,3.18,6.4,2.2,10.5,68.26,9
2013,0,12,7,1,1,0,6,10,2.46,1.59,4,3.4,7,1,3,0,7,10,3.04,1.88,9.1,2.6,5,53.24,8
2010,0,11,6,1,0,0,5,9.71,2.17,1.3,6,2.2,6,0,0,0,1,9.42,0,0.14,7,0,0,36.98,4
2016,0,6,7,0,0,0,7,10,0,1.88,2.7,1.9,5,0,0,0,4,8.55,0,1.01,1.4,0,4.64,28.06,4
2013,1,4,7,0,0,0,7,10,0,1.88,5.5,3.1,7,1,1,0,7,10,2.46,1.88,8.7,2.8,1.39,47.87,7
2013,0,4,7,2,0,0,5,10,4.2,1.3,8.9,3.5,7,0,0,0,5,10,0,1.3,8.7,2.4,1.25,53.43,8
2012,1,2,6,1,0,0,7,9.42,2.17,1.88,7,2.2,7,2,1,0,6,10,4.49,1.59,6.9,2.1,12.35,59.34,8
2010,1,5,7,0,0,0,5,10,0,1.3,9.4,2.5,5,0,0,0,2,8.55,0,0.43,6.8,2.9,0,44.05,4
2011,1,10,7,7,0,0,4,10,10,1.01,9.4,3.9,7,6,0,1,5,10,9.42,3.62,8.7,4.8,16,89.43,10
2014,1,8,7,0,1,0,7,10,0.14,1.88,9.1,2.6,7,0,0,0,7,10,0,1.88,8.6,2.2,3.5,50.11,7
2011,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2014,0,13,7,2,0,0,5,10,4.2,1.3,8.4,2.35,6,0,0,0,3,9.42,0,0.72,8.4,2.2,0.7,48.93,7
2014,0,5,6,0,0,0,5,9.42,0,1.3,8.8,2,6,0,0,0,3,9.42,0,0.72,7.8,3,1.14,45.28,5
2014,0,13,7,0,0,0,6,10,0,1.59,8.7,2.15,7,0,0,0,6,10,0,1.59,7.8,2.1,1.5,45.36,5
2013,0,8,7,0,0,0,6,10,0,1.59,6.8,2.2,3,0,0,0,5,5.94,0,1.3,0,0,0,25.03,4
2012,0,4,7,2,1,0,7,10,4.49,1.88,7,2.95,5,2,1,0,4,8.55,4.49,1.01,7.2,2.6,13.5,64.58,8
2010,0,11,7,1,3,0,6,10,3.04,1.59,9.9,2.6,7,0,0,0,8,10,0,2.17,7.8,2.2,0,49.51,7
2009,0,5,7,0,0,0,1,10,0,0.14,1.1,2.3,5,0,0,0,3,8.55,0,0.72,4.8,2.7,0,30.25,4
2015,1,13,7,1,0,0,7,10,2.17,1.88,8.1,3.6,7,1,1,0,7,10,2.46,2.3,7,2.9,8,59.95,8
2013,0,10,7,0,0,0,7,10,0,1.88,6.9,2.6,7,0,0,0,7,10,0,1.88,7.8,2.4,1.95,45.02,5
2013,0,2,7,0,1,0,7,10,0.14,1.88,6.9,2.5,7,0,0,0,7,10,0,1.88,7,2.4,3.5,45.53,6
2015,0,3,7,1,1,1,6,10,2.46,3.91,4.7,2.6,7,1,0,0,4,10,2.17,1.01,3.6,2.45,12.05,52.41,8
2013,0,10,7,0,0,0,7,10,0,1.88,6.4,3.5,7,0,0,0,6,10,0,1.59,8,2.3,1.5,45.52,6
2014,0,9,6,0,0,0,4,9.42,0,1.01,6.3,2.5,7,0,0,0,6,10,0,1.59,4.7,2.2,0.5,37.69,4
2016,0,13,7,6,1,0,7,10,9.71,1.88,8.5,4.6,7,2,0,0,7,10,4.2,1.88,4,2.43,6.5,46.98,6
2015,0,11,7,0,2,0,7,10,0.43,1.88,8.3,2.6,7,1,1,0,6,10,2.46,1.87,4.5,2.05,8.8,52.38,8
2014,0,5,7,0,1,0,6,10,0.14,1.59,6.1,2.75,7,1,0,0,7,10,2.17,1.88,9,2.53,3,49.29,7
2015,1,6,7,0,0,0,6,10,0,1.87,8,2.3,7,0,0,0,7,10,0,1.88,2.5,2.4,8,45.31,5
2013,0,3,7,0,0,0,3,10,0,0.72,8,2.4,7,0,0,0,2,10,0,0.43,8.5,2.2,1.05,45.01,5
2011,0,1,2,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,4
2016,1,6,7,1,2,1,6,10,2.75,3.91,6.2,2,6,0,0,0,7,9.42,0,1.88,7,2.25,8.64,52.68,8
2009,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2014,0,14,7,1,0,0,6,10,2.17,1.59,8.6,2.65,7,1,0,0,5,10,2.17,1.3,8.3,2.33,1.28,51.18,7
2016,0,3,7,0,0,0,6,10,0,1.59,4.6,2.5,6,0,0,0,2,9.42,0,0.43,2.2,2.5,21.89,54.48,8
2011,1,7,7,1,3,0,4,10,3.04,1.01,9.7,2.5,7,3,2,0,7,10,6.52,1.88,9,0,0.14,53.17,8
2009,0,6,6,1,0,0,0,9.42,2.17,0,7.2,2.1,3,1,0,0,2,6.23,2.17,0.43,6.8,2.4,0,41.56,4
2016,1,12,7,0,1,0,7,10,0.14,1.95,6,3,7,1,2,0,7,10,2.75,1.88,4,3,6.64,49.09,7
2011,0,6,7,0,0,0,5,10,0,1.3,9,2.1,7,0,1,0,6,10,0.14,1.59,9.7,2,1.64,48.05,7
2015,0,11,7,0,2,0,6,10,0.43,1.59,7.5,2.8,7,1,2,0,6,10,2.75,1.73,4.6,2.4,3,46.79,6
2010,0,1,6,0,0,2,2,9.42,0,4.78,5.4,2.4,7,0,0,0,6,10,0,1.59,6.2,2.5,0,39.23,4
2010,0,8,7,6,1,2,2,10,9.71,4.78,8.4,3.2,7,4,0,0,1,10,7.39,0.14,3.2,2.2,23,80.28,9
2010,0,4,7,7,0,4,2,10,10,7.97,8.7,4.8,7,3,0,0,2,10,5.94,0.43,6.7,3.9,24.75,92.27,10
2015,0,9,7,2,2,0,5,10,4.78,1.3,6.2,3,7,2,0,0,7,10,4.2,1.88,3.1,2.8,9,55.63,8
2014,1,13,6,0,2,0,7,9.42,0.43,1.88,8.6,2.9,6,0,0,0,7,9.42,0,1.88,8.3,2.15,3.57,49.03,7
2015,1,3,7,0,1,0,7,10,0.14,1.88,7,3,6,0,0,0,5,9.42,0,1.3,3.1,2.4,25.75,63.5,9
2012,1,12,7,2,3,0,7,10,5.07,1.88,6.5,3.1,7,2,1,0,5,10,4.49,1.3,8.9,2.3,4.61,58.67,8
2016,0,3,7,0,0,0,7,10,0,1.88,2.6,2.3,6,0,0,0,5,9.42,0,1.3,1.2,2.5,5.64,34,4
2015,1,11,7,0,0,0,7,10,0,1.88,8.5,2.6,7,0,2,0,7,10,0.43,2.02,2.6,3.4,6,46.58,6
2011,1,12,7,0,1,0,4,10,0.14,1.01,7.5,3.3,7,0,1,0,6,10,0.14,1.59,9.5,2.8,0.14,48,7
2009,0,11,6,0,0,0,5,9.71,0,1.3,6.5,2.1,7,0,0,0,5,10,0,1.3,6.5,2.4,0,39.56,4
2011,1,14,7,0,1,0,3,10,0.14,0.72,9.7,2.85,7,2,2,0,3,10,4.78,0.72,8.7,2.4,2.5,54.97,8
2010,0,14,7,0,0,0,0,10,0,0,7.6,2.2,7,0,0,0,4,10,0,1.01,6.3,2.4,0,40.68,4
2011,0,12,6,0,1,0,3,9.42,0.14,0.72,4.4,2.2,5,1,1,0,4,8.55,2.46,1.01,8.8,2.5,0,41.24,4
2010,0,2,7,1,0,0,5,10,2.17,1.3,7.7,4,6,0,0,0,6,9.71,0,1.59,6.7,2.9,15.5,63.25,9
2016,0,7,7,0,0,0,7,10,0,1.88,2,1.7,7,5,0,0,6,10,8.55,1.59,2.7,2.53,9.71,47.47,6
2009,0,2,7,0,1,0,2,10,0.14,0.43,8.2,2.8,7,0,0,2,2,10,0,4.78,9.4,2.1,0,47.02,7
2014,0,2,7,3,2,0,7,10,6.52,1.88,5.6,2.3,7,1,0,0,6,10,2.17,1.59,6.4,2.1,3.5,50.76,7
2010,0,11,7,0,0,2,0,10,0,4.2,9.3,2.75,7,0,0,0,4,10,0,1.01,7.8,2.1,0,46.17,6
2013,0,3,7,0,0,0,6,10,0,1.59,6.8,3.3,7,0,0,0,6,10,0,1.59,5.5,3.2,2.5,45.05,5
2011,0,4,7,0,0,0,5,10,0,1.3,8.2,2.1,7,0,2,0,7,10,0.43,1.88,9.7,2.9,0.7,48.05,7
2011,0,8,7,2,1,0,5,10,4.49,1.3,8.8,3.3,7,2,0,0,4,10,4.2,1.01,7.8,2.9,0,55.87,8
2010,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2016,0,8,7,0,1,0,7,10,0.14,1.88,4.2,2.8,7,1,0,0,7,10,2.17,1.88,4.8,2.5,8.5,47.83,6
2013,0,6,7,0,0,0,3,10,0,0.72,2.9,2.6,6,0,2,0,6,9.42,0.43,1.59,7,2,0.25,36.25,4
2011,1,1,6,0,0,0,4,9.42,0,1.01,6.7,2.1,4,0,0,0,4,7.97,0,1.01,5.3,0,0,32.22,4
2009,0,2,5,0,1,2,0,8.55,0.14,4.2,6.3,2.2,5,0,0,4,1,8.55,0,7.68,9.5,2,2,45.04,5
2010,1,8,7,1,0,4,1,10,2.17,7.68,8.2,4.9,7,1,1,1,9,10,2.46,4.78,7.6,2.6,0,55.62,8
