Gender,Class,NrPS1,NrPSM1,NrPSA1,NrPCA1,NrPC1,NET1,NL1,NrPS2,NrPSM2,NrPSA2,NrPCA2,NrPC2,NET2,NL2,BS,PF
1,3,7,3,1,0,5,7.7,3.2,6,5,0,1,3,6.4,2.2,10.5,68.26
0,12,7,1,1,0,6,4,3.4,7,1,3,0,7,9.1,2.6,5,53.24
0,11,6,1,0,0,5,6,2.2,6,0,0,0,1,7,0,0,36.98
0,6,7,0,0,0,7,2.7,1.9,5,0,0,0,4,1.4,0,4.64,28.06
1,4,7,0,0,0,7,5.5,3.1,7,1,1,0,7,8.7,2.8,1.39,47.87
0,4,7,2,0,0,5,8.9,3.5,7,0,0,0,5,8.7,2.4,1.25,53.43
1,2,6,1,0,0,7,7,2.2,7,2,1,0,6,6.9,2.1,12.35,59.34
1,5,7,0,0,0,5,9.4,2.5,5,0,0,0,2,6.8,2.9,0,44.05
1,10,7,7,0,0,4,9.4,3.9,7,6,0,1,5,8.7,4.8,16,89.43
1,8,7,0,1,0,7,9.1,2.6,7,0,0,0,7,8.6,2.2,3.5,50.11
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,7,2,0,0,5,8.4,2.35,6,0,0,0,3,8.4,2.2,0.7,48.93
0,5,6,0,0,0,5,8.8,2,6,0,0,0,3,7.8,3,1.14,45.28
0,13,7,0,0,0,6,8.7,2.15,7,0,0,0,6,7.8,2.1,1.5,45.36
0,8,7,0,0,0,6,6.8,2.2,3,0,0,0,5,0,0,0,25.03
0,4,7,2,1,0,7,7,2.95,5,2,1,0,4,7.2,2.6,13.5,64.58
0,11,7,1,3,0,6,9.9,2.6,7,0,0,0,8,7.8,2.2,0,49.51
0,5,7,0,0,0,1,1.1,2.3,5,0,0,0,3,4.8,2.7,0,30.25
1,13,7,1,0,0,7,8.1,3.6,7,1,1,0,7,7,2.9,8,59.95
0,10,7,0,0,0,7,6.9,2.6,7,0,0,0,7,7.8,2.4,1.95,45.02
0,2,7,0,1,0,7,6.9,2.5,7,0,0,0,7,7,2.4,3.5,45.53
0,3,7,1,1,1,6,4.7,2.6,7,1,0,0,4,3.6,2.45,12.05,52.41
0,10,7,0,0,0,7,6.4,3.5,7,0,0,0,6,8,2.3,1.5,45.52
0,9,6,0,0,0,4,6.3,2.5,7,0,0,0,6,4.7,2.2,0.5,37.69
0,13,7,6,1,0,7,8.5,4.6,7,2,0,0,7,4,2.43,6.5,46.98
0,11,7,0,2,0,7,8.3,2.6,7,1,1,0,6,4.5,2.05,8.8,52.38
0,5,7,0,1,0,6,6.1,2.75,7,1,0,0,7,9,2.53,3,49.29
1,6,7,0,0,0,6,8,2.3,7,0,0,0,7,2.5,2.4,8,45.31
0,3,7,0,0,0,3,8,2.4,7,0,0,0,2,8.5,2.2,1.05,45.01
0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15
1,6,7,1,2,1,6,6.2,2,6,0,0,0,7,7,2.25,8.64,52.68
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,7,1,0,0,6,8.6,2.65,7,1,0,0,5,8.3,2.33,1.28,51.18
0,3,7,0,0,0,6,4.6,2.5,6,0,0,0,2,2.2,2.5,21.89,54.48
1,7,7,1,3,0,4,9.7,2.5,7,3,2,0,7,9,0,0.14,53.17
0,6,6,1,0,0,0,7.2,2.1,3,1,0,0,2,6.8,2.4,0,41.56
1,12,7,0,1,0,7,6,3,7,1,2,0,7,4,3,6.64,49.09
0,6,7,0,0,0,5,9,2.1,7,0,1,0,6,9.7,2,1.64,48.05
0,11,7,0,2,0,6,7.5,2.8,7,1,2,0,6,4.6,2.4,3,46.79
0,1,6,0,0,2,2,5.4,2.4,7,0,0,0,6,6.2,2.5,0,39.23
0,8,7,6,1,2,2,8.4,3.2,7,4,0,0,1,3.2,2.2,23,80.28
0,4,7,7,0,4,2,8.7,4.8,7,3,0,0,2,6.7,3.9,24.75,92.27
0,9,7,2,2,0,5,6.2,3,7,2,0,0,7,3.1,2.8,9,55.63
1,13,6,0,2,0,7,8.6,2.9,6,0,0,0,7,8.3,2.15,3.57,49.03
1,3,7,0,1,0,7,7,3,6,0,0,0,5,3.1,2.4,25.75,63.5
1,12,7,2,3,0,7,6.5,3.1,7,2,1,0,5,8.9,2.3,4.61,58.67
0,3,7,0,0,0,7,2.6,2.3,6,0,0,0,5,1.2,2.5,5.64,34
1,11,7,0,0,0,7,8.5,2.6,7,0,2,0,7,2.6,3.4,6,46.58
1,12,7,0,1,0,4,7.5,3.3,7,0,1,0,6,9.5,2.8,0.14,48
0,11,6,0,0,0,5,6.5,2.1,7,0,0,0,5,6.5,2.4,0,39.56
1,14,7,0,1,0,3,9.7,2.85,7,2,2,0,3,8.7,2.4,2.5,54.97
0,14,7,0,0,0,0,7.6,2.2,7,0,0,0,4,6.3,2.4,0,40.68
0,12,6,0,1,0,3,4.4,2.2,5,1,1,0,4,8.8,2.5,0,41.24
0,2,7,1,0,0,5,7.7,4,6,0,0,0,6,6.7,2.9,15.5,63.25
0,7,7,0,0,0,7,2,1.7,7,5,0,0,6,2.7,2.53,9.71,47.47
0,2,7,0,1,0,2,8.2,2.8,7,0,0,2,2,9.4,2.1,0,47.02
0,2,7,3,2,0,7,5.6,2.3,7,1,0,0,6,6.4,2.1,3.5,50.76
0,11,7,0,0,2,0,9.3,2.75,7,0,0,0,4,7.8,2.1,0,46.17
0,3,7,0,0,0,6,6.8,3.3,7,0,0,0,6,5.5,3.2,2.5,45.05
0,4,7,0,0,0,5,8.2,2.1,7,0,2,0,7,9.7,2.9,0.7,48.05
0,8,7,2,1,0,5,8.8,3.3,7,2,0,0,4,7.8,2.9,0,55.87
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,7,0,1,0,7,4.2,2.8,7,1,0,0,7,4.8,2.5,8.5,47.83
0,6,7,0,0,0,3,2.9,2.6,6,0,2,0,6,7,2,0.25,36.25
1,1,6,0,0,0,4,6.7,2.1,4,0,0,0,4,5.3,0,0,32.22
0,2,5,0,1,2,0,6.3,2.2,5,0,0,4,1,9.5,2,2,45.04
1,8,7,1,0,4,1,8.2,4.9,7,1,1,1,9,7.6,2.6,0,55.62
0,9,7,0,0,0,3,5.6,2.3,7,0,0,0,6,8.4,2.65,0.56,42.3
0,14,6,0,0,0,4,3.4,1.8,0,0,0,0,0,0,0,1.5,16.46
0,9,7,0,0,0,7,5.3,2.2,7,0,0,0,7,5.1,2,3.25,39.54
0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78
1,9,7,0,0,0,7,5.2,2.2,7,0,0,0,6,3.5,2.8,11.21,47.26
0,14,7,0,0,0,5,3.4,2.2,6,0,2,0,6,7.5,4,1.75,41.94
0,11,7,0,1,0,6,8.3,2.1,7,1,0,0,6,9.9,2,3.5,51.53
0,13,6,0,1,0,7,7.6,3.2,7,1,4,0,7,7.6,2.2,5,52.43
0,4,7,0,1,0,6,8.3,2.5,7,0,0,0,5,9,2.38,3.5,49.53
1,14,7,2,3,1,5,9.5,6.1,7,3,2,0,4,8.5,4.9,18.5,88
1,11,7,1,0,0,7,3.9,1.9,5,3,0,0,7,1.3,2.8,4.5,42.3
0,11,4,0,0,0,0,6,0,3,0,0,0,4,6.5,0,0,26.09
0,6,7,1,0,0,0,6.2,2.1,6,2,0,0,0,7.3,2.5,0,46.08
0,1,5,0,1,0,6,3.2,2.5,7,0,0,0,7,7.2,2.4,2.03,38.53
0,1,7,0,0,0,7,2.6,2.4,7,2,1,0,7,1.6,2.35,4.78,38.69
1,10,7,0,0,0,5,2.4,1.7,7,0,0,0,5,1.4,0,8.64,32.33
0,5,6,0,0,0,0,1.9,0,7,0,0,0,2,4.2,2,0,25.8
0,2,7,0,0,0,7,4.5,1.7,6,1,0,0,7,1.4,2,6.64,38.5
1,5,7,1,1,0,6,7.6,3.75,7,0,0,0,7,8.3,2.4,4.14,53.11
0,12,7,1,2,0,6,6.4,4,7,2,1,0,1,5.8,2.8,7.03,56.85
0,14,7,0,0,0,5,8.1,2.5,7,1,2,0,4,8.3,2.6,0.14,47.89
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,5,0,0,0,0,4.2,2.5,6,0,0,0,0,3.3,2,2.03,32.76
1,12,7,0,1,0,3,9.4,2.75,7,0,1,0,6,8.4,3.2,2.14,50.66
0,14,7,0,0,1,2,5.5,2.65,7,0,0,0,5,6.9,3,0,41.4
0,3,7,0,0,0,5,8.6,2.5,6,0,0,0,3,8.4,2.45,0,45.02
